Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-pharmac.fhir.pharmac-schedules.json	81590	-	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	3	0	0	257	608	0	0	0	20	0	6
fsh-generated/resources/Bundle-SearchSet-Bundle-Adrenaline-Note-And-Limit.json	34686	13	32	0	2	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	52	202	0	0	0	0	0	2
fsh-generated/resources/Bundle-SearchSet-Bundle-All-Funding-Rules.json	465830	115	148	0	0	0	0	0	48	0	0	0	0	0	0	0	0	1	0	0	498	938	0	0	0	0	0	12
fsh-generated/resources/Bundle-SearchSet-Bundle-All-Medications.json	126253	31	17	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	138	88	0	0	0	0	0	1
fsh-generated/resources/Bundle-SearchSet-Bundle-All-Special-Authorities.json	25420	7	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	34	114	0	0	0	0	0	1
fsh-generated/resources/Bundle-SearchSet-Bundle-Estradiol-Limit.json	16774	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-SearchSet-Bundle-Etoposide-Authority-Endorsement.json	28767	8	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	33	55	0	0	0	0	0	1
fsh-generated/resources/Bundle-SearchSet-Bundle-Famotidine-Endorsement-And-Note.json	16456	5	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-SearchSet-Bundle-Fluanxol-Multiple-Community-And-Hospital.json	33323	9	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	38	53	0	0	0	0	0	0
fsh-generated/resources/Bundle-SearchSet-Bundle-Nitisinone-Hospital-Restriction.json	19846	6	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	25	34	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-PharmacSchedulesCapabilityStatement.json	3525	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	37	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50003171000117108-Hospital-Case-7.json	5163	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	9	19	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50014861000117106-Community-Case-1.json	4294	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50014861000117106-Community-Case-2.json	4267	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	14	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50014861000117106-Community-Case-3.json	4284	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50014861000117106-Community-Case-4.json	4939	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50014861000117106-Hospital-Case-5.json	4252	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	12	0	0	0	1	0	1
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50021691000117107-Community-Case-1.json	5011	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50021691000117107-Community-Case-2.json	4308	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	14	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50021691000117107-Community-Case-3.json	4325	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50021691000117107-Hospital-Case-5.json	4289	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	12	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50021721000117104-Community-Case-1.json	5157	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	1	0	0
