URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/chargeitem-billingcodes,4.0.1,draft,"2.16.840.1.113883.4.642.3.848",ChargeItemCode,ChargeItemCode,"Example set of codes that can be used for billing purposes.","StructureDefinition/pharmac-charge-item-definition-special-authority,StructureDefinition/pharmac-charge-item-definition,StructureDefinition/pharmac-charge-item-definition-funding-rules","THO"
http://hl7.org/fhir/ValueSet/currencies,4.0.1,active,"2.16.840.1.113883.4.642.3.1025",Currencies,CurrencyCode,"Currency codes from ISO 4217 (see https://www.iso.org/iso-4217-currency-codes.html)","StructureDefinition/pharmac-charge-item-definition-funding-rules","Other"
http://hl7.org/fhir/ValueSet/invoice-priceComponentType,4.0.1,draft,"2.16.840.1.113883.4.642.3.868",InvoicePriceComponentType,InvoicePriceComponentType,"Codes indicating the kind of the price component.","StructureDefinition/pharmac-charge-item-definition-special-authority,StructureDefinition/pharmac-charge-item-definition,StructureDefinition/pharmac-charge-item-definition-funding-rules","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/jurisdiction,4.0.1,active,"2.16.840.1.113883.4.642.3.48",Jurisdiction ValueSet,Jurisdiction,"This value set defines a base set of codes for country, country subdivision and region    for indicating where a resource is intended to be used.             Note: The codes for countries and country subdivisions are taken from    [ISO 3166](https://www.iso.org/iso-3166-country-codes.html)    while the codes for ""supra-national"" regions are from    [UN Standard country or area codes for statistical use (M49)](http://unstats.un.org/unsd/methods/m49/m49.htm).","StructureDefinition/pharmac-charge-item-definition-special-authority,StructureDefinition/pharmac-charge-item-definition,StructureDefinition/pharmac-charge-item-definition-funding-rules","Other"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/pharmac-charge-item-definition-special-authority,StructureDefinition/pharmac-medication,StructureDefinition/pharmac-charge-item-definition,StructureDefinition/pharmac-charge-item-definition-funding-rules","Other"
http://hl7.org/fhir/ValueSet/medication-form-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.374",SNOMEDCTFormCodes,SNOMED CT Form Codes,"This value set includes all dose form codes from SNOMED CT - provided as an exemplar.","StructureDefinition/pharmac-medication","SCT"
http://hl7.org/fhir/ValueSet/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.376",Medication Status Codes,Medication  status  codes,"Medication Status Codes","StructureDefinition/pharmac-medication","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/publication-status,4.0.1,active,"2.16.840.1.113883.4.642.3.3",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","StructureDefinition/pharmac-charge-item-definition-special-authority,StructureDefinition/pharmac-charge-item-definition,StructureDefinition/pharmac-charge-item-definition-funding-rules","hl7.fhir.r4.core"
https://fhir-ig.digital.health.nz/pharmac-schedules/ValueSet/medication-form-codes,1.1.0,draft,,MedicationFormCodes,Medication Form Codes,"",,"SCT"
https://fhir-ig.digital.health.nz/pharmac-schedules/ValueSet/pharmac-medication-code,1.1.0,active,,PharmacMedicationCode,PHARMAC Medication Code ValueSet,"ValueSet containing medication codes from NZMT CTPP, PackID, and SNOMED CT code systems used for PHARMAC pharmaceutical schedule medications.","StructureDefinition/pharmac-medication","SCT"
https://fhir-ig.digital.health.nz/pharmac-schedules/ValueSet/snomed-ct-device-types,1.1.0,draft,,SNOMEDCTDeviceTypes,SNOMED CT Device Types,"",,"SCT"
https://nzhts.digital.health.nz/fhir/ValueSet/nzmt-mp,20260615,draft,,NZMT___MP,NZMT - MP,"","ValueSet/pharmac-medication-code","Other"
